From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
ENSG00000001461	Q6P499	reviewed	NPAL3_HUMAN	NIPA-like protein 3	NIPAL3 NPAL3	Homo sapiens (Human)	406
ENSG00000001461	A6NN97	unreviewed	A6NN97_HUMAN	NIPA like domain containing 3	NIPAL3	Homo sapiens (Human)	368
ENSG00000001461	H0Y4I9	unreviewed	H0Y4I9_HUMAN	NIPA like domain containing 3	NIPAL3	Homo sapiens (Human)	134
ENSG00000001626	P13569	reviewed	CFTR_HUMAN	Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel)	CFTR ABCC7	Homo sapiens (Human)	1480
ENSG00000001626	A0A3B3IT97	unreviewed	A0A3B3IT97_HUMAN	CF transmembrane conductance regulator	CFTR	Homo sapiens (Human)	58
ENSG00000001626	A0A3B3ITE0	unreviewed	A0A3B3ITE0_HUMAN	Cystic fibrosis transmembrane conductance regulator (EC 5.6.1.6) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (cAMP-dependent chloride channel)	CFTR	Homo sapiens (Human)	1196
ENSG00000001626	A0A3B3ITW0	unreviewed	A0A3B3ITW0_HUMAN	CF transmembrane conductance regulator	CFTR	Homo sapiens (Human)	842
ENSG00000001626	A0A3B3ITW5	unreviewed	A0A3B3ITW5_HUMAN	Cystic fibrosis transmembrane conductance regulator (EC 5.6.1.6) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (cAMP-dependent chloride channel)	CFTR	Homo sapiens (Human)	1187
ENSG00000001626	A0A669KBE8	unreviewed	A0A669KBE8_HUMAN	CF transmembrane conductance regulator	CFTR	Homo sapiens (Human)	333
ENSG00000001626	A0A8I5KVL1	unreviewed	A0A8I5KVL1_HUMAN	Cystic fibrosis transmembrane conductance regulator (EC 5.6.1.6) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (cAMP-dependent chloride channel)	CFTR	Homo sapiens (Human)	1180
ENSG00000001626	A0A8I5KVV2	unreviewed	A0A8I5KVV2_HUMAN	Cystic fibrosis transmembrane conductance regulator (EC 5.6.1.6) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (cAMP-dependent chloride channel)	CFTR	Homo sapiens (Human)	1300
ENSG00000001626	A0A8I5KXQ9	unreviewed	A0A8I5KXQ9_HUMAN	CF transmembrane conductance regulator	CFTR	Homo sapiens (Human)	280
ENSG00000001626	A0A8V8TNG7	unreviewed	A0A8V8TNG7_HUMAN	CF transmembrane conductance regulator	CFTR	Homo sapiens (Human)	478
ENSG00000001626	A0A8V8TNH2	unreviewed	A0A8V8TNH2_HUMAN	Cystic fibrosis transmembrane conductance regulator (EC 5.6.1.6) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (cAMP-dependent chloride channel)	CFTR	Homo sapiens (Human)	1478
ENSG00000001626	A0A8V8TNN0	unreviewed	A0A8V8TNN0_HUMAN	Cystic fibrosis transmembrane conductance regulator (EC 5.6.1.6) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (cAMP-dependent chloride channel)	CFTR	Homo sapiens (Human)	1428
ENSG00000001626	A0A8V8TNN7	unreviewed	A0A8V8TNN7_HUMAN	CF transmembrane conductance regulator	CFTR	Homo sapiens (Human)	57
ENSG00000001626	A0A8V8TPV6	unreviewed	A0A8V8TPV6_HUMAN	Cystic fibrosis transmembrane conductance regulator (EC 5.6.1.6) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (cAMP-dependent chloride channel)	CFTR	Homo sapiens (Human)	1338
ENSG00000001626	A0A8V8TQ89	unreviewed	A0A8V8TQ89_HUMAN	CF transmembrane conductance regulator	CFTR	Homo sapiens (Human)	536
ENSG00000001626	A0A8V8TQ94	unreviewed	A0A8V8TQ94_HUMAN	CF transmembrane conductance regulator	CFTR	Homo sapiens (Human)	564
ENSG00000001626	C9J6L5	unreviewed	C9J6L5_HUMAN	CF transmembrane conductance regulator	CFTR	Homo sapiens (Human)	36
ENSG00000001626	E7EPB6	unreviewed	E7EPB6_HUMAN	Cystic fibrosis transmembrane conductance regulator (EC 5.6.1.6) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (cAMP-dependent chloride channel)	CFTR	Homo sapiens (Human)	1438
ENSG00000001626	H0Y8A9	unreviewed	H0Y8A9_HUMAN	CF transmembrane conductance regulator	CFTR	Homo sapiens (Human)	190
ENSG00000001626	M0QYZ3	unreviewed	M0QYZ3_HUMAN	CF transmembrane conductance regulator	CFTR	Homo sapiens (Human)	156
ENSG00000002746	Q76N89	reviewed	HECW1_HUMAN	E3 ubiquitin-protein ligase HECW1 (EC 2.3.2.26) (HECT, C2 and WW domain-containing protein 1) (HECT-type E3 ubiquitin transferase HECW1) (NEDD4-like E3 ubiquitin-protein ligase 1) (hNEDL1)	HECW1 KIAA0322 NEDL1	Homo sapiens (Human)	1606
ENSG00000002746	H7C3Q2	unreviewed	H7C3Q2_HUMAN	HECT-type E3 ubiquitin transferase (EC 2.3.2.26)	HECW1	Homo sapiens (Human)	138
ENSG00000004660	Q8N5S9	reviewed	KKCC1_HUMAN	Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha)	CAMKK1 CAMKKA	Homo sapiens (Human)	505
ENSG00000004660	J3KPJ3	unreviewed	J3KPJ3_HUMAN	Calcium/calmodulin dependent protein kinase kinase 1	CAMKK1	Homo sapiens (Human)	532
ENSG00000004866	Q9NRC1	reviewed	ST7_HUMAN	Suppressor of tumorigenicity 7 protein (Protein FAM4A1) (Protein HELG)	ST7 FAM4A1 HELG RAY1	Homo sapiens (Human)	585
ENSG00000004866	B7Z4L1	unreviewed	B7Z4L1_HUMAN	Suppression of tumorigenicity 7 (cDNA FLJ56113, highly similar to Mus musculus Suppression of tumorigenicity 7 (St7), mRNA)	ST7 hCG_15955	Homo sapiens (Human)	534
ENSG00000004866	B7Z4U3	unreviewed	B7Z4U3_HUMAN	Suppression of tumorigenicity 7	ST7	Homo sapiens (Human)	531
ENSG00000004866	C9J2Z1	unreviewed	C9J2Z1_HUMAN	Protein ST7 homolog	ST7	Homo sapiens (Human)	62
ENSG00000004866	C9JRQ0	unreviewed	C9JRQ0_HUMAN	Suppression of tumorigenicity 7	ST7	Homo sapiens (Human)	138
ENSG00000004866	C9JRW1	unreviewed	C9JRW1_HUMAN	Suppression of tumorigenicity 7	ST7	Homo sapiens (Human)	251
ENSG00000004866	C9JU30	unreviewed	C9JU30_HUMAN	Suppression of tumorigenicity 7	ST7	Homo sapiens (Human)	561
ENSG00000004866	C9JWK8	unreviewed	C9JWK8_HUMAN	Suppression of tumorigenicity 7	ST7	Homo sapiens (Human)	87
ENSG00000004866	C9JX79	unreviewed	C9JX79_HUMAN	Suppression of tumorigenicity 7	ST7	Homo sapiens (Human)	24
ENSG00000004866	C9JZV9	unreviewed	C9JZV9_HUMAN	Suppression of tumorigenicity 7	ST7	Homo sapiens (Human)	97
ENSG00000004866	E7EMS3	unreviewed	E7EMS3_HUMAN	Suppression of tumorigenicity 7	ST7	Homo sapiens (Human)	64
ENSG00000004866	E7ENZ9	unreviewed	E7ENZ9_HUMAN	Suppression of tumorigenicity 7	ST7	Homo sapiens (Human)	558
ENSG00000004866	E7EPD9	unreviewed	E7EPD9_HUMAN	Suppression of tumorigenicity 7	ST7	Homo sapiens (Human)	572
ENSG00000004866	E7EPW5	unreviewed	E7EPW5_HUMAN	Suppression of tumorigenicity 7	ST7	Homo sapiens (Human)	508
ENSG00000004866	E9PCV1	unreviewed	E9PCV1_HUMAN	Protein ST7 homolog	ST7	Homo sapiens (Human)	523
ENSG00000004866	E9PF01	unreviewed	E9PF01_HUMAN	Suppression of tumorigenicity 7	ST7	Homo sapiens (Human)	52
ENSG00000004866	G3XAH9	unreviewed	G3XAH9_HUMAN	Suppression of tumorigenicity 7	ST7 hCG_15955	Homo sapiens (Human)	511
ENSG00000004866	H7BXS2	unreviewed	H7BXS2_HUMAN	Suppression of tumorigenicity 7	ST7	Homo sapiens (Human)	577
ENSG00000005448	Q9H977	reviewed	WDR54_HUMAN	WD repeat-containing protein 54	WDR54	Homo sapiens (Human)	334
ENSG00000006047	Q9Y2T7	reviewed	YBOX2_HUMAN	Y-box-binding protein 2 (Contrin) (DNA-binding protein C) (Dbpc) (Germ cell-specific Y-box-binding protein) (MSY2 homolog)	YBX2 CSDA3 MSY2	Homo sapiens (Human)	364
ENSG00000006047	I3L2D6	unreviewed	I3L2D6_HUMAN	Y-box binding protein 2	YBX2	Homo sapiens (Human)	164
ENSG00000006116	O60359	reviewed	CCG3_HUMAN	Voltage-dependent calcium channel gamma-3 subunit (Neuronal voltage-gated calcium channel gamma-3 subunit) (Transmembrane AMPAR regulatory protein gamma-3) (TARP gamma-3)	CACNG3	Homo sapiens (Human)	315
ENSG00000006740	Q17R89	reviewed	RHG44_HUMAN	Rho GTPase-activating protein 44 (NPC-A-10) (Rho-type GTPase-activating protein RICH2) (RhoGAP interacting with CIP4 homologs protein 2) (RICH-2)	ARHGAP44 KIAA0672 RICH2	Homo sapiens (Human)	818
ENSG00000006740	E7ERK8	unreviewed	E7ERK8_HUMAN	Rho GTPase activating protein 44	ARHGAP44	Homo sapiens (Human)	774
ENSG00000006740	F5H6L3	unreviewed	F5H6L3_HUMAN	Rho GTPase activating protein 44	ARHGAP44	Homo sapiens (Human)	591
ENSG00000006740	J3KRS3	unreviewed	J3KRS3_HUMAN	Rho GTPase activating protein 44	ARHGAP44	Homo sapiens (Human)	178
ENSG00000006740	J3QQU7	unreviewed	J3QQU7_HUMAN	Rho GTPase activating protein 44	ARHGAP44	Homo sapiens (Human)	191
ENSG00000006740	K7EK86	unreviewed	K7EK86_HUMAN	Rho GTPase activating protein 44	ARHGAP44	Homo sapiens (Human)	182
ENSG00000007038	Q9Y6M0	reviewed	TEST_HUMAN	Testisin (EC 3.4.21.-) (Eosinophil serine protease 1) (ESP-1) (Serine protease 21)	PRSS21 ESP1 TEST1 UNQ266/PRO303	Homo sapiens (Human)	314
ENSG00000007038	I3L0U2	unreviewed	I3L0U2_HUMAN	Serine protease 21	PRSS21	Homo sapiens (Human)	218
ENSG00000007038	I3L2G7	unreviewed	I3L2G7_HUMAN	Serine protease 21	PRSS21	Homo sapiens (Human)	81
ENSG00000007038	I3L3C7	unreviewed	I3L3C7_HUMAN	Serine protease 21	PRSS21	Homo sapiens (Human)	256
ENSG00000007038	I3L3F7	unreviewed	I3L3F7_HUMAN	Serine protease 21	PRSS21	Homo sapiens (Human)	81
ENSG00000007350	P51854	reviewed	TKTL1_HUMAN	Transketolase-like protein 1 (EC 2.2.1.1) (Transketolase 2) (TK 2) (Transketolase-related protein)	TKTL1 TKR TKT2	Homo sapiens (Human)	596
ENSG00000007350	A0AA34QVR6	unreviewed	A0AA34QVR6_HUMAN	Transketolase like 1	TKTL1	Homo sapiens (Human)	507
ENSG00000007350	A2ID95	unreviewed	A2ID95_HUMAN	transketolase (EC 2.2.1.1)	TKTL1 LL0XNC01-14B7.1-005	Homo sapiens (Human)	197
ENSG00000007350	F8WF97	unreviewed	F8WF97_HUMAN	transketolase (EC 2.2.1.1)	TKTL1	Homo sapiens (Human)	127
ENSG00000007350	H0Y808	unreviewed	H0Y808_HUMAN	transketolase (EC 2.2.1.1)	TKTL1	Homo sapiens (Human)	175
ENSG00000007933	P31513	reviewed	FMO3_HUMAN	Flavin-containing monooxygenase 3 (EC 1.14.13.148) (EC 1.14.13.32) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 3) (Dimethylaniline oxidase 3) (FMO II) (FMO form 2) (Hepatic flavin-containing monooxygenase 3) (FMO 3) (Trimethylamine monooxygenase)	FMO3	Homo sapiens (Human)	532
ENSG00000007933	V9GYP3	unreviewed	V9GYP3_HUMAN	Flavin-containing monooxygenase (EC 1.-.-.-)	FMO3	Homo sapiens (Human)	48
ENSG00000007933	V9GZ60	unreviewed	V9GZ60_HUMAN	Flavin-containing monooxygenase 3 (EC 1.14.13.148) (EC 1.14.13.32) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 3) (Trimethylamine monooxygenase)	FMO3	Homo sapiens (Human)	218
ENSG00000008056	P17600	reviewed	SYN1_HUMAN	Synapsin-1 (Brain protein 4.1) (Synapsin I)	SYN1	Homo sapiens (Human)	705
ENSG00000008056	A0A1W2PS00	unreviewed	A0A1W2PS00_HUMAN	Synapsin-1 (Synapsin I)	SYN1	Homo sapiens (Human)	148
ENSG00000008056	A0A1W2PSE9	unreviewed	A0A1W2PSE9_HUMAN	Synapsin I	SYN1	Homo sapiens (Human)	55
ENSG00000008086	O76039	reviewed	CDKL5_HUMAN	Cyclin-dependent kinase-like 5 (EC 2.7.11.22) (Serine/threonine-protein kinase 9)	CDKL5 STK9	Homo sapiens (Human)	960
ENSG00000008086	A0A096LNR9	unreviewed	A0A096LNR9_HUMAN	Cyclin dependent kinase like 5	CDKL5	Homo sapiens (Human)	784
ENSG00000008086	A0A096LP32	unreviewed	A0A096LP32_HUMAN	Cyclin dependent kinase like 5	CDKL5	Homo sapiens (Human)	68
ENSG00000008086	A0A096LPG3	unreviewed	A0A096LPG3_HUMAN	Cyclin dependent kinase like 5	CDKL5	Homo sapiens (Human)	60
ENSG00000008086	A0A096LPI4	unreviewed	A0A096LPI4_HUMAN	Cyclin dependent kinase like 5	CDKL5	Homo sapiens (Human)	17
ENSG00000008086	A0A1B0GTX4	unreviewed	A0A1B0GTX4_HUMAN	Cyclin dependent kinase like 5	CDKL5	Homo sapiens (Human)	471
ENSG00000008086	A0A1B0GUM4	unreviewed	A0A1B0GUM4_HUMAN	Cyclin dependent kinase like 5	CDKL5	Homo sapiens (Human)	881
ENSG00000008086	A0A669KBC2	unreviewed	A0A669KBC2_HUMAN	Cyclin dependent kinase like 5	CDKL5	Homo sapiens (Human)	1001
ENSG00000008277	Q9P0K1	reviewed	ADA22_HUMAN	Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2)	ADAM22 MDC2	Homo sapiens (Human)	906
ENSG00000008277	A0A804HHS1	unreviewed	A0A804HHS1_HUMAN	ADAM metallopeptidase domain 22	ADAM22	Homo sapiens (Human)	906
ENSG00000008277	A0A804HIW1	unreviewed	A0A804HIW1_HUMAN	ADAM metallopeptidase domain 22	ADAM22	Homo sapiens (Human)	264
ENSG00000008277	E9PF78	unreviewed	E9PF78_HUMAN	ADAM metallopeptidase domain 22	ADAM22	Homo sapiens (Human)	196
ENSG00000008277	F8WAD8	unreviewed	F8WAD8_HUMAN	ADAM metallopeptidase domain 22	ADAM22	Homo sapiens (Human)	803
ENSG00000008277	H7C0Q9	unreviewed	H7C0Q9_HUMAN	ADAM metallopeptidase domain 22	ADAM22	Homo sapiens (Human)	330
ENSG00000008277	H7C3I4	unreviewed	H7C3I4_HUMAN	ADAM metallopeptidase domain 22	ADAM22	Homo sapiens (Human)	964
ENSG00000009765	Q6PHW0	reviewed	IYD1_HUMAN	Iodotyrosine deiodinase 1 (IYD-1) (EC 1.21.1.1) (Iodotyrosine dehalogenase 1)	IYD C6orf71 DEHAL1	Homo sapiens (Human)	289
ENSG00000009765	C9JXJ9	unreviewed	C9JXJ9_HUMAN	Iodotyrosine deiodinase 1 (EC 1.21.1.1) (Iodotyrosine dehalogenase 1)	IYD	Homo sapiens (Human)	270
ENSG00000009765	F5H543	unreviewed	F5H543_HUMAN	Iodotyrosine deiodinase 1 (EC 1.21.1.1) (Iodotyrosine dehalogenase 1)	IYD	Homo sapiens (Human)	192
ENSG00000009765	F6VN83	unreviewed	F6VN83_HUMAN	Iodotyrosine deiodinase 1 (EC 1.21.1.1) (Iodotyrosine dehalogenase 1)	IYD	Homo sapiens (Human)	284
ENSG00000009765	H7C0X6	unreviewed	H7C0X6_HUMAN	Iodotyrosine deiodinase	IYD	Homo sapiens (Human)	89
